pitch,vel,dur,db(lab),db(audi),duration(lab),duration(audi)
21.0,1.0,0.1,0.00034981424623880094,0.04748297429072867,0.0,0.0
21.0,1.0,0.3,0.00034981424623880094,0.04748297429072867,0.0,0.0
21.0,1.0,0.7,0.00034981424623880094,0.04748297429072867,0.0,0.0
21.0,1.0,1.0,0.00034981424623880094,0.04748297429072867,0.0,0.0
21.0,9.0,0.1,0.0004295088854902019,0.059386094871746155,0.0,0.0
21.0,9.0,0.3,0.0004295088854902019,0.059386094871746155,0.0,0.0
21.0,9.0,0.7,0.0004295088854902019,0.059386094871746155,0.0,0.0
21.0,9.0,1.0,0.0004295088854902019,0.059386094871746155,0.0,0.0
21.0,17.0,0.1,0.015331805346372237,0.3838237265786279,0.0,0.0
21.0,17.0,0.3,0.015331805346372237,0.3838237265786279,0.0,0.0
21.0,17.0,0.7,0.015331805346372237,0.3838237265786279,0.0,0.0
21.0,17.0,1.0,0.015331805346372237,0.3838237265786279,0.0,0.0
21.0,25.0,0.1,0.4218082510460485,0.8134178151502136,0.0,0.0
21.0,25.0,0.3,0.4218082510460485,0.8134178151502136,0.0,0.0
21.0,25.0,0.7,0.4218082510460485,0.8134178151502136,0.0,0.0
21.0,25.0,1.0,0.4218082510460485,0.8134178151502136,0.0,0.0
21.0,33.0,0.1,0.8025208628724466,1.3733452262422123,0.0,0.0
21.0,33.0,0.3,0.8025208628724466,1.3733452262422123,0.0,0.0
21.0,33.0,0.7,0.8025208628724466,1.3733452262422123,0.0,0.0
21.0,33.0,1.0,0.8025208628724466,1.3733452262422123,0.0,0.0
21.0,41.0,0.1,0.9281001824219886,2.2801616061976335,0.0,0.0
21.0,41.0,0.3,0.9281001824219886,2.2801616061976335,0.0,0.0
21.0,41.0,0.7,0.9281001824219886,2.2801616061976335,0.0,0.0
21.0,41.0,1.0,0.9281001824219886,2.2801616061976335,0.0,0.0
21.0,49.0,0.1,1.4391879213465713,3.1790404007553237,0.0,0.0
21.0,49.0,0.3,1.4391879213465713,3.1790404007553237,0.0,0.0
21.0,49.0,0.7,1.4391879213465713,3.1790404007553237,0.0,0.0
21.0,49.0,1.0,1.4391879213465713,3.1790404007553237,0.0,0.0
21.0,57.0,0.1,1.5711200046881133,4.5456512368517386,0.0,0.0
21.0,57.0,0.3,1.5711200046881133,4.5456512368517386,0.0,0.0
21.0,57.0,0.7,1.5711200046881133,4.5456512368517386,0.0,0.0
21.0,57.0,1.0,1.5711200046881133,4.5456512368517386,0.0,0.0
21.0,65.0,0.1,2.129618659646741,5.981744474894104,0.0,0.0
21.0,65.0,0.3,2.129618659646741,5.981744474894104,0.0,0.0
21.0,65.0,0.7,2.129618659646741,5.981744474894104,0.0,0.0
21.0,65.0,1.0,2.129618659646741,5.981744474894104,0.0,0.0
21.0,73.0,0.1,2.6820019679402214,7.350692877903187,0.0,0.0
21.0,73.0,0.3,2.6820019679402214,7.350692877903187,0.0,0.0
21.0,73.0,0.7,2.6820019679402214,7.350692877903187,0.0,0.0
21.0,73.0,1.0,2.6820019679402214,7.350692877903187,0.0,0.0
21.0,81.0,0.1,3.2835412267996977,9.204483157265415,0.0,0.0
21.0,81.0,0.3,3.2835412267996977,9.204483157265415,0.0,0.0
21.0,81.0,0.7,3.2835412267996977,9.204483157265415,0.0,0.0
21.0,81.0,1.0,3.2835412267996977,9.204483157265415,0.0,0.0
21.0,89.0,0.1,3.863722769670896,11.024273843645386,0.0,0.0
21.0,89.0,0.3,3.863722769670896,11.024273843645386,0.0,0.0
21.0,89.0,0.7,3.863722769670896,11.024273843645386,0.0,0.0
21.0,89.0,1.0,3.863722769670896,11.024273843645386,0.0,0.0
21.0,97.0,0.1,4.341479807815565,15.132138001700554,0.0,0.0
21.0,97.0,0.3,4.341479807815565,15.132138001700554,0.0,0.0
21.0,97.0,0.7,4.341479807815565,15.132138001700554,0.0,0.0
21.0,97.0,1.0,4.341479807815565,15.132138001700554,0.0,0.0
21.0,105.0,0.1,4.334846833034227,17.304078502398934,0.0,0.0
21.0,105.0,0.3,4.334846833034227,17.304078502398934,0.0,0.0
21.0,105.0,0.7,4.334846833034227,17.304078502398934,0.0,0.0
21.0,105.0,1.0,4.334846833034227,17.304078502398934,0.0,0.0
21.0,113.0,0.1,4.325413452330262,17.07284582378849,0.0,0.0
21.0,113.0,0.3,4.325413452330262,17.07284582378849,0.0,0.0
21.0,113.0,0.7,4.325413452330262,17.07284582378849,0.0,0.0
21.0,113.0,1.0,4.325413452330262,17.07284582378849,0.0,0.0
21.0,121.0,0.1,4.320512785443898,16.71247129765199,0.0,0.0
21.0,121.0,0.3,4.320512785443898,16.71247129765199,0.0,0.0
21.0,121.0,0.7,4.320512785443898,16.71247129765199,0.0,0.0
21.0,121.0,1.0,4.320512785443898,16.71247129765199,0.0,0.0
21.0,127.0,0.1,4.291519938354159,16.33254787922286,0.0,0.0
21.0,127.0,0.3,4.291519938354159,16.33254787922286,0.0,0.0
21.0,127.0,0.7,4.291519938354159,16.33254787922286,0.0,0.0
21.0,127.0,1.0,4.291519938354159,16.33254787922286,0.0,0.0
22.0,1.0,0.1,0.8517600685097484,0.13163329796456383,0.0,0.0
22.0,1.0,0.3,0.8517600685097484,0.13163329796456383,0.0,0.0
22.0,1.0,0.7,0.8517600685097484,0.13163329796456383,0.0,0.0
22.0,1.0,1.0,0.8517600685097484,0.13163329796456383,0.0,0.0
22.0,9.0,0.1,0.646801145300605,0.26309804857617025,0.0,0.0
22.0,9.0,0.3,0.646801145300605,0.26309804857617025,0.0,0.0
22.0,9.0,0.7,0.646801145300605,0.26309804857617025,0.0,0.0
22.0,9.0,1.0,0.646801145300605,0.26309804857617025,0.0,0.0
22.0,17.0,0.1,0.63547225652909,0.601135092490451,0.0,0.0
22.0,17.0,0.3,0.63547225652909,0.601135092490451,0.0,0.0
22.0,17.0,0.7,0.63547225652909,0.601135092490451,0.0,0.0
22.0,17.0,1.0,0.63547225652909,0.601135092490451,0.0,0.0
22.0,25.0,0.1,0.5802961799225923,1.1743265297625722,0.0,0.0
22.0,25.0,0.3,0.5802961799225923,1.1743265297625722,0.0,0.0
22.0,25.0,0.7,0.5802961799225923,1.1743265297625722,0.0,0.0
22.0,25.0,1.0,0.5802961799225923,1.1743265297625722,0.0,0.0
22.0,33.0,0.1,0.7896721513146643,1.6747227681763914,0.0,0.0
22.0,33.0,0.3,0.7896721513146643,1.6747227681763914,0.0,0.0
22.0,33.0,0.7,0.7896721513146643,1.6747227681763914,0.0,0.0
22.0,33.0,1.0,0.7896721513146643,1.6747227681763914,0.0,0.0
22.0,41.0,0.1,1.1300114944386253,2.4227538717540513,0.0,0.0
22.0,41.0,0.3,1.1300114944386253,2.4227538717540513,0.0,0.0
22.0,41.0,0.7,1.1300114944386253,2.4227538717540513,0.0,0.0
22.0,41.0,1.0,1.1300114944386253,2.4227538717540513,0.0,0.0
22.0,49.0,0.1,1.5860333306182564,3.3007669038111747,0.0,0.0
22.0,49.0,0.3,1.5860333306182564,3.3007669038111747,0.0,0.0
22.0,49.0,0.7,1.5860333306182564,3.3007669038111747,0.0,0.0
22.0,49.0,1.0,1.5860333306182564,3.3007669038111747,0.0,0.0
22.0,57.0,0.1,1.950683482905691,4.390127018528966,0.0,0.0
22.0,57.0,0.3,1.950683482905691,4.390127018528966,0.0,0.0
22.0,57.0,0.7,1.950683482905691,4.390127018528966,0.0,0.0
22.0,57.0,1.0,1.950683482905691,4.390127018528966,0.0,0.0
22.0,65.0,0.1,2.6662852904181173,5.6866713863838125,0.0,0.0
22.0,65.0,0.3,2.6662852904181173,5.6866713863838125,0.0,0.0
22.0,65.0,0.7,2.6662852904181173,5.6866713863838125,0.0,0.0
22.0,65.0,1.0,2.6662852904181173,5.6866713863838125,0.0,0.0
22.0,73.0,0.1,3.3132273733409,7.067481174577055,0.0,0.0
22.0,73.0,0.3,3.3132273733409,7.067481174577055,0.0,0.0
22.0,73.0,0.7,3.3132273733409,7.067481174577055,0.0,0.0
22.0,73.0,1.0,3.3132273733409,7.067481174577055,0.0,0.0
