pitch,vel,dur,db(lab),db(audi),duration(lab),duration(audi)
21.0,1.0,0.1,-3.822855700071168,-1.660581298615164,0.0,0.0
21.0,1.0,0.3,-3.822855700071168,-1.660581298615164,0.0,0.0
21.0,1.0,0.7,-3.822855700071168,-1.660581298615164,0.0,0.0
21.0,1.0,1.0,-3.822855700071168,-1.660581298615164,0.0,0.0
21.0,9.0,0.1,-4.120232522647133,-1.5986017404960917,0.0,0.0
21.0,9.0,0.3,-4.120232522647133,-1.5986017404960917,0.0,0.0
21.0,9.0,0.7,-4.120232522647133,-1.5986017404960917,0.0,0.0
21.0,9.0,1.0,-4.120232522647133,-1.5986017404960917,0.0,0.0
21.0,17.0,0.1,-0.989754613215307,0.49922839073231073,0.0,0.0
21.0,17.0,0.3,-0.989754613215307,0.49922839073231073,0.0,0.0
21.0,17.0,0.7,-0.989754613215307,0.49922839073231073,0.0,0.0
21.0,17.0,1.0,-0.989754613215307,0.49922839073231073,0.0,0.0
21.0,25.0,0.1,-4.1465756557237405,0.7918773067646769,0.0,0.0
21.0,25.0,0.3,-4.1465756557237405,0.7918773067646769,0.0,0.0
21.0,25.0,0.7,-4.1465756557237405,0.7918773067646769,0.0,0.0
21.0,25.0,1.0,-4.1465756557237405,0.7918773067646769,0.0,0.0
21.0,33.0,0.1,0.6720267300613378,1.287725345371554,0.0,0.0
21.0,33.0,0.3,0.6720267300613378,1.287725345371554,0.0,0.0
21.0,33.0,0.7,0.6720267300613378,1.287725345371554,0.0,0.0
21.0,33.0,1.0,0.6720267300613378,1.287725345371554,0.0,0.0
21.0,41.0,0.1,0.8251859349086914,1.9697823363422118,0.0,0.0
21.0,41.0,0.3,0.8251859349086914,1.9697823363422118,0.0,0.0
21.0,41.0,0.7,0.8251859349086914,1.9697823363422118,0.0,0.0
21.0,41.0,1.0,0.8251859349086914,1.9697823363422118,0.0,0.0
21.0,49.0,0.1,1.2610598399530597,2.267959939744344,0.0,0.0
21.0,49.0,0.3,1.2610598399530597,2.267959939744344,0.0,0.0
21.0,49.0,0.7,1.2610598399530597,2.267959939744344,0.0,0.0
21.0,49.0,1.0,1.2610598399530597,2.267959939744344,0.0,0.0
21.0,57.0,0.1,1.320041605258851,2.7616108455687414,0.0,0.0
21.0,57.0,0.3,1.320041605258851,2.7616108455687414,0.0,0.0
21.0,57.0,0.7,1.320041605258851,2.7616108455687414,0.0,0.0
