pitch,vel,dur,db(lab),db(audi),duration(lab),duration(audi)
21.0,1.0,0.1,26.338645935058594,29.557518005371094,0.0,0.0
21.0,1.0,0.3,26.338645935058594,29.557518005371094,0.0,0.0
21.0,1.0,0.7,26.338645935058594,29.557518005371094,0.0,0.0
21.0,1.0,1.0,26.338645935058594,29.557518005371094,0.0,0.0
21.0,9.0,0.1,26.148101806640625,31.516231536865234,0.0,0.0
21.0,9.0,0.3,26.148101806640625,31.516231536865234,0.0,0.0
21.0,9.0,0.7,26.148101806640625,31.516231536865234,0.0,0.0
21.0,9.0,1.0,26.148101806640625,31.516231536865234,0.0,0.0
21.0,17.0,0.1,23.310287475585938,30.981163024902344,0.0,0.0
21.0,17.0,0.3,23.310287475585938,30.981163024902344,0.0,0.0
21.0,17.0,0.7,23.310287475585938,30.981163024902344,0.0,0.0
21.0,17.0,1.0,23.310287475585938,30.981163024902344,0.0,0.0
21.0,25.0,0.1,17.593093872070312,32.905364990234375,0.0,0.0
21.0,25.0,0.3,17.593093872070312,32.905364990234375,0.0,0.0
21.0,25.0,0.7,17.593093872070312,32.905364990234375,0.0,0.0
21.0,25.0,1.0,17.593093872070312,32.905364990234375,0.0,0.0
21.0,33.0,0.1,40.02566146850586,54.435997009277344,0.0,0.0
21.0,33.0,0.3,40.02566146850586,54.435997009277344,0.0,0.0
21.0,33.0,0.7,40.02566146850586,54.435997009277344,0.0,0.0
21.0,33.0,1.0,40.02566146850586,54.435997009277344,0.0,0.0
21.0,41.0,0.1,25.417373657226562,58.29901885986328,0.0,0.0
21.0,41.0,0.3,25.417373657226562,58.29901885986328,0.0,0.0
21.0,41.0,0.7,25.417373657226562,58.29901885986328,0.0,0.0
21.0,41.0,1.0,25.417373657226562,58.29901885986328,0.0,0.0
21.0,49.0,0.1,27.777923583984375,60.8577880859375,0.0,0.0
21.0,49.0,0.3,27.777923583984375,60.8577880859375,0.0,0.0
21.0,49.0,0.7,27.777923583984375,60.8577880859375,0.0,0.0
21.0,49.0,1.0,27.777923583984375,60.8577880859375,0.0,0.0
21.0,57.0,0.1,31.15045928955078,63.88824462890625,0.0,0.0
21.0,57.0,0.3,31.15045928955078,63.88824462890625,0.0,0.0
21.0,57.0,0.7,31.15045928955078,63.88824462890625,0.0,0.0
21.0,57.0,1.0,31.15045928955078,63.88824462890625,0.0,0.0
21.0,65.0,0.1,53.32561492919922,66.23977661132812,0.0,0.0
21.0,65.0,0.3,53.32561492919922,66.23977661132812,0.0,0.0
21.0,65.0,0.7,53.32561492919922,66.23977661132812,0.0,0.0
21.0,65.0,1.0,53.32561492919922,66.23977661132812,0.0,0.0
21.0,73.0,0.1,55.2847900390625,68.11454010009766,0.0,0.0
21.0,73.0,0.3,55.2847900390625,68.11454010009766,0.0,0.0
21.0,73.0,0.7,55.2847900390625,68.11454010009766,0.0,0.0
21.0,73.0,1.0,55.2847900390625,68.11454010009766,0.0,0.0
21.0,81.0,0.1,57.58692932128906,70.38822174072266,0.0,0.0
21.0,81.0,0.3,57.58692932128906,70.38822174072266,0.0,0.0
21.0,81.0,0.7,57.58692932128906,70.38822174072266,0.0,0.0
21.0,81.0,1.0,57.58692932128906,70.38822174072266,0.0,0.0
21.0,89.0,0.1,59.41135787963867,72.55187225341797,0.0,0.0
21.0,89.0,0.3,59.41135787963867,72.55187225341797,0.0,0.0
21.0,89.0,0.7,59.41135787963867,72.55187225341797,0.0,0.0
21.0,89.0,1.0,59.41135787963867,72.55187225341797,0.0,0.0
21.0,97.0,0.1,60.76434326171875,77.3321762084961,0.0,0.0
21.0,97.0,0.3,60.76434326171875,77.3321762084961,0.0,0.0
21.0,97.0,0.7,60.76434326171875,77.3321762084961,0.0,0.0
21.0,97.0,1.0,60.76434326171875,77.3321762084961,0.0,0.0
21.0,105.0,0.1,60.726104736328125,79.2254638671875,0.0,0.0
21.0,105.0,0.3,60.726104736328125,79.2254638671875,0.0,0.0
21.0,105.0,0.7,60.726104736328125,79.2254638671875,0.0,0.0
21.0,105.0,1.0,60.726104736328125,79.2254638671875,0.0,0.0
21.0,113.0,0.1,60.75193405151367,78.99896240234375,0.0,0.0
21.0,113.0,0.3,60.75193405151367,78.99896240234375,0.0,0.0
21.0,113.0,0.7,60.75193405151367,78.99896240234375,0.0,0.0
21.0,113.0,1.0,60.75193405151367,78.99896240234375,0.0,0.0
21.0,121.0,0.1,60.72553253173828,78.1768798828125,0.0,0.0
21.0,121.0,0.3,60.72553253173828,78.1768798828125,0.0,0.0
21.0,121.0,0.7,60.72553253173828,78.1768798828125,0.0,0.0
21.0,121.0,1.0,60.72553253173828,78.1768798828125,0.0,0.0
21.0,127.0,0.1,60.59895324707031,78.39533996582031,0.0,0.0
21.0,127.0,0.3,60.59895324707031,78.39533996582031,0.0,0.0
